value,description,codesystem,code,iri
Male hypogonadism,"Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis.",HP,HP:0000026,http://purl.obolibrary.org/obo/HP_0000026
Azoospermia,Absence of any measurable level of sperm in his semen.,HP,HP:0000027,http://purl.obolibrary.org/obo/HP_0000027
Cryptorchidism,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.",HP,HP:0000028,http://purl.obolibrary.org/obo/HP_0000028
Testicular atrophy,Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.,HP,HP:0000029,http://purl.obolibrary.org/obo/HP_0000029
Testicular gonadoblastoma,The presence of a gonadoblastoma of the testis.,HP,HP:0000030,http://purl.obolibrary.org/obo/HP_0000030
Epididymitis,The presence of inflammation of the epididymis.,HP,HP:0000031,http://purl.obolibrary.org/obo/HP_0000031
Abnormality of male external genitalia,An abnormality of male external genitalia.,HP,HP:0000032,http://purl.obolibrary.org/obo/HP_0000032
"Ambiguous genitalia, male",Ambiguous genitalia in an individual with XY genetic gender.,HP,HP:0000033,http://purl.obolibrary.org/obo/HP_0000033
Hydrocele testis,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.,HP,HP:0000034,http://purl.obolibrary.org/obo/HP_0000034
Abnormal testis morphology,An anomaly of the testicle (the male gonad).,HP,HP:0000035,http://purl.obolibrary.org/obo/HP_0000035
Abnormal penis morphology,Abnormality of the male external sex organ.,HP,HP:0000036,http://purl.obolibrary.org/obo/HP_0000036
Male pseudohermaphroditism,"Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.",HP,HP:0000037,http://purl.obolibrary.org/obo/HP_0000037
Epispadias,Displacement of the urethral opening on the dorsal (superior) surface of the penis.,HP,HP:0000039,http://purl.obolibrary.org/obo/HP_0000039
Long penis,Penile length more than 2 SD above the mean for age.,HP,HP:0000040,http://purl.obolibrary.org/obo/HP_0000040
Chordee,"Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees.",HP,HP:0000041,http://purl.obolibrary.org/obo/HP_0000041
Absent external genitalia,Lack of external genitalia in a male or female individual.,HP,HP:0000042,http://purl.obolibrary.org/obo/HP_0000042
Hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).,HP,HP:0000044,http://purl.obolibrary.org/obo/HP_0000044
Abnormality of the scrotum,,HP,HP:0000045,http://purl.obolibrary.org/obo/HP_0000045
Scrotal hypoplasia,,HP,HP:0000046,http://purl.obolibrary.org/obo/HP_0000046
Hypospadias,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.",HP,HP:0000047,http://purl.obolibrary.org/obo/HP_0000047
Bifid scrotum,Midline indentation or cleft of the scrotum.,HP,HP:0000048,http://purl.obolibrary.org/obo/HP_0000048
Shawl scrotum,Superior margin of the scrotum superior to the base of the penis.,HP,HP:0000049,http://purl.obolibrary.org/obo/HP_0000049
Hypoplastic male external genitalia,"Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).",HP,HP:0000050,http://purl.obolibrary.org/obo/HP_0000050
Perineal hypospadias,Hypospadias with location of the urethral meatus in the perineal region.,HP,HP:0000051,http://purl.obolibrary.org/obo/HP_0000051
"Urethral atresia, male",Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.,HP,HP:0000052,http://purl.obolibrary.org/obo/HP_0000052
Macroorchidism,The presence of abnormally large testes.,HP,HP:0000053,http://purl.obolibrary.org/obo/HP_0000053
Micropenis,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.",HP,HP:0000054,http://purl.obolibrary.org/obo/HP_0000054
Abnormality of female external genitalia,An abnormality of the female external genitalia.,HP,HP:0000055,http://purl.obolibrary.org/obo/HP_0000055
Abnormality of the clitoris,An abnormality of the clitoris.,HP,HP:0000056,http://purl.obolibrary.org/obo/HP_0000056
obsolete Clitoromegaly,,HP,HP:0000057,http://purl.obolibrary.org/obo/HP_0000057
Abnormal labia morphology,"An anomaly of the labia, the externally visible portions of the vulva.",HP,HP:0000058,http://purl.obolibrary.org/obo/HP_0000058
Hypoplastic labia majora,Undergrowth of the outer labia.,HP,HP:0000059,http://purl.obolibrary.org/obo/HP_0000059
Clitoral hypoplasia,Developmental hypoplasia of the clitoris.,HP,HP:0000060,http://purl.obolibrary.org/obo/HP_0000060
"Ambiguous genitalia, female",Ambiguous genitalia in an individual with XX genetic gender.,HP,HP:0000061,http://purl.obolibrary.org/obo/HP_0000061
Ambiguous genitalia,A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.,HP,HP:0000062,http://purl.obolibrary.org/obo/HP_0000062
Fused labia minora,Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.,HP,HP:0000063,http://purl.obolibrary.org/obo/HP_0000063
Hypoplastic labia minora,,HP,HP:0000064,http://purl.obolibrary.org/obo/HP_0000064
Labial hypertrophy,,HP,HP:0000065,http://purl.obolibrary.org/obo/HP_0000065
Labial hypoplasia,,HP,HP:0000066,http://purl.obolibrary.org/obo/HP_0000066
"Urethral atresia, female",Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.,HP,HP:0000067,http://purl.obolibrary.org/obo/HP_0000067
Urethral atresia,Congenital anomaly characterized by closure or failure to develop an opening in the urethra.,HP,HP:0000068,http://purl.obolibrary.org/obo/HP_0000068
Abnormality of the ureter,An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder.,HP,HP:0000069,http://purl.obolibrary.org/obo/HP_0000069
Ureterocele,A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.,HP,HP:0000070,http://purl.obolibrary.org/obo/HP_0000070
Ureteral stenosis,"The presence of a stenotic, i.e., constricted ureter.",HP,HP:0000071,http://purl.obolibrary.org/obo/HP_0000071
Hydroureter,The distention of the ureter with urine.,HP,HP:0000072,http://purl.obolibrary.org/obo/HP_0000072
Ureteral duplication,"A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.",HP,HP:0000073,http://purl.obolibrary.org/obo/HP_0000073
Ureteropelvic junction obstruction,Blockage of urine flow from the renal pelvis to the proximal ureter.,HP,HP:0000074,http://purl.obolibrary.org/obo/HP_0000074
Renal duplication,"A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters.",HP,HP:0000075,http://purl.obolibrary.org/obo/HP_0000075
Vesicoureteral reflux,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.,HP,HP:0000076,http://purl.obolibrary.org/obo/HP_0000076
Abnormality of the kidney,An abnormality of the kidney.,HP,HP:0000077,http://purl.obolibrary.org/obo/HP_0000077
Abnormality of the genital system,An abnormality of the genital system.,HP,HP:0000078,http://purl.obolibrary.org/obo/HP_0000078
Abnormality of the urinary system,An abnormality of the urinary system.,HP,HP:0000079,http://purl.obolibrary.org/obo/HP_0000079
Abnormality of reproductive system physiology,An abnormal functionality of the genital system.,HP,HP:0000080,http://purl.obolibrary.org/obo/HP_0000080
Duplicated collecting system,"A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice.",HP,HP:0000081,http://purl.obolibrary.org/obo/HP_0000081
Renal insufficiency,"A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.",HP,HP:0000083,http://purl.obolibrary.org/obo/HP_0000083
Horseshoe kidney,A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.,HP,HP:0000085,http://purl.obolibrary.org/obo/HP_0000085
Ectopic kidney,A developmental defect in which a kidney is located in an abnormal anatomic position.,HP,HP:0000086,http://purl.obolibrary.org/obo/HP_0000086
Renal hypoplasia,Hypoplasia of the kidney.,HP,HP:0000089,http://purl.obolibrary.org/obo/HP_0000089
Nephronophthisis,Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.,HP,HP:0000090,http://purl.obolibrary.org/obo/HP_0000090
Abnormal renal tubule morphology,An abnormality of the renal tubules.,HP,HP:0000091,http://purl.obolibrary.org/obo/HP_0000091
Renal tubular atrophy,"The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.",HP,HP:0000092,http://purl.obolibrary.org/obo/HP_0000092
Proteinuria,Increased levels of protein in the urine.,HP,HP:0000093,http://purl.obolibrary.org/obo/HP_0000093
Abnormal renal glomerulus morphology,A structural anomaly of the glomerulus.,HP,HP:0000095,http://purl.obolibrary.org/obo/HP_0000095
Glomerular sclerosis,Accumulation of scar tissue within the glomerulus.,HP,HP:0000096,http://purl.obolibrary.org/obo/HP_0000096
Focal segmental glomerulosclerosis,Segmental accumulation of scar tissue in individual (but not all) glomeruli.,HP,HP:0000097,http://purl.obolibrary.org/obo/HP_0000097
Tall stature,A height above that which is expected according to age and gender norms.,HP,HP:0000098,http://purl.obolibrary.org/obo/HP_0000098
Glomerulonephritis,Inflammation of the renal glomeruli.,HP,HP:0000099,http://purl.obolibrary.org/obo/HP_0000099
Nephrotic syndrome,"Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia.",HP,HP:0000100,http://purl.obolibrary.org/obo/HP_0000100
Polyuria,An increased rate of urine production.,HP,HP:0000103,http://purl.obolibrary.org/obo/HP_0000103
Renal agenesis,"Agenesis, that is, failure of the kidney to develop during embryogenesis and development.",HP,HP:0000104,http://purl.obolibrary.org/obo/HP_0000104
Enlarged kidney,An abnormal increase in the size of the kidney.,HP,HP:0000105,http://purl.obolibrary.org/obo/HP_0000105
Renal cyst,A fluid filled sac in the kidney.,HP,HP:0000107,http://purl.obolibrary.org/obo/HP_0000107
Renal corticomedullary cysts,The presence of multiple cysts at the border between the renal cortex and medulla.,HP,HP:0000108,http://purl.obolibrary.org/obo/HP_0000108
Renal dysplasia,The presence of developmental dysplasia of the kidney.,HP,HP:0000110,http://purl.obolibrary.org/obo/HP_0000110
Renal juxtaglomerular cell hypertrophy/hyperplasia,Increased number and size of the juxtaglomerular cells.,HP,HP:0000111,http://purl.obolibrary.org/obo/HP_0000111
Nephropathy,A nonspecific term referring to disease or damage of the kidneys.,HP,HP:0000112,http://purl.obolibrary.org/obo/HP_0000112
Polycystic kidney dysplasia,The presence of multiple cysts in both kidneys.,HP,HP:0000113,http://purl.obolibrary.org/obo/HP_0000113
Proximal tubulopathy,"Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle.",HP,HP:0000114,http://purl.obolibrary.org/obo/HP_0000114
Renal phosphate wasting,High urine phosphate in the presence of hypophosphatemia.,HP,HP:0000117,http://purl.obolibrary.org/obo/HP_0000117
Phenotypic abnormality,A phenotypic abnormality.,HP,HP:0000118,http://purl.obolibrary.org/obo/HP_0000118
Abnormality of the genitourinary system,The presence of any abnormality of the genitourinary system.,HP,HP:0000119,http://purl.obolibrary.org/obo/HP_0000119
Nephrocalcinosis,Nephrocalcinosis is the deposition of calcium salts in renal parenchyma.,HP,HP:0000121,http://purl.obolibrary.org/obo/HP_0000121
Unilateral renal agenesis,A unilateral form of agenesis of the kidney.,HP,HP:0000122,http://purl.obolibrary.org/obo/HP_0000122
Nephritis,The presence of inflammation affecting the kidney.,HP,HP:0000123,http://purl.obolibrary.org/obo/HP_0000123
Renal tubular dysfunction,"Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid.",HP,HP:0000124,http://purl.obolibrary.org/obo/HP_0000124
Pelvic kidney,A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis.,HP,HP:0000125,http://purl.obolibrary.org/obo/HP_0000125
Hydronephrosis,Severe distention of the kidney with dilation of the renal pelvis and calices.,HP,HP:0000126,http://purl.obolibrary.org/obo/HP_0000126
Renal salt wasting,A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s).,HP,HP:0000127,http://purl.obolibrary.org/obo/HP_0000127
Renal potassium wasting,High urine potassium in the presence of hypokalemia.,HP,HP:0000128,http://purl.obolibrary.org/obo/HP_0000128
Abnormality of the uterus,An abnormality of the uterus.,HP,HP:0000130,http://purl.obolibrary.org/obo/HP_0000130
Uterine leiomyoma,The presence of a leiomyoma of the uterus.,HP,HP:0000131,http://purl.obolibrary.org/obo/HP_0000131
Menorrhagia,Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days.,HP,HP:0000132,http://purl.obolibrary.org/obo/HP_0000132
Gonadal dysgenesis,,HP,HP:0000133,http://purl.obolibrary.org/obo/HP_0000133
Female hypogonadism,"Decreased functionality of the female gonads, i.e., of the ovary.",HP,HP:0000134,http://purl.obolibrary.org/obo/HP_0000134
Hypogonadism,A decreased functionality of the gonad.,HP,HP:0000135,http://purl.obolibrary.org/obo/HP_0000135
Bifid uterus,The presence of a bifid uterus.,HP,HP:0000136,http://purl.obolibrary.org/obo/HP_0000136
Abnormality of the ovary,An abnormality of the ovary.,HP,HP:0000137,http://purl.obolibrary.org/obo/HP_0000137
Ovarian cyst,The presence of one or more cysts of the ovary.,HP,HP:0000138,http://purl.obolibrary.org/obo/HP_0000138
Uterine prolapse,The presence of prolapse of the uterus.,HP,HP:0000139,http://purl.obolibrary.org/obo/HP_0000139
Abnormality of the menstrual cycle,An abnormality of the ovulation cycle.,HP,HP:0000140,http://purl.obolibrary.org/obo/HP_0000140
Amenorrhea,Absence of menses for an interval of time equivalent to a total of more than (or equal to) 3 previous cycles or 6 months.,HP,HP:0000141,http://purl.obolibrary.org/obo/HP_0000141
Abnormal vagina morphology,Any structural abnormality of the vagina.,HP,HP:0000142,http://purl.obolibrary.org/obo/HP_0000142
Rectovaginal fistula,The presence of a fistula between the vagina and the rectum.,HP,HP:0000143,http://purl.obolibrary.org/obo/HP_0000143
Decreased fertility,,HP,HP:0000144,http://purl.obolibrary.org/obo/HP_0000144
Transverse vaginal septum,,HP,HP:0000145,http://purl.obolibrary.org/obo/HP_0000145
Polycystic ovaries,,HP,HP:0000147,http://purl.obolibrary.org/obo/HP_0000147
Vaginal atresia,Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion.,HP,HP:0000148,http://purl.obolibrary.org/obo/HP_0000148
Ovarian gonadoblastoma,The presence of a gonadoblastoma of the ovary.,HP,HP:0000149,http://purl.obolibrary.org/obo/HP_0000149
Gonadoblastoma,"The presence of a gonadoblastoma, a neoplasm of a gonad that consists of aggregates of germ cells and sex cord elements.",HP,HP:0000150,http://purl.obolibrary.org/obo/HP_0000150
Aplasia of the uterus,Aplasia of the uterus.,HP,HP:0000151,http://purl.obolibrary.org/obo/HP_0000151
Abnormality of head or neck,An abnormality of head and neck.,HP,HP:0000152,http://purl.obolibrary.org/obo/HP_0000152
Abnormality of the mouth,An abnormality of the mouth.,HP,HP:0000153,http://purl.obolibrary.org/obo/HP_0000153
Wide mouth,"Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective).",HP,HP:0000154,http://purl.obolibrary.org/obo/HP_0000154
Oral ulcer,"Erosion of the mucous mebrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue.",HP,HP:0000155,http://purl.obolibrary.org/obo/HP_0000155
Abnormality of the tongue,Any abnormality of the tongue.,HP,HP:0000157,http://purl.obolibrary.org/obo/HP_0000157
Macroglossia,Increased length and width of the tongue.,HP,HP:0000158,http://purl.obolibrary.org/obo/HP_0000158
Abnormal lip morphology,An abnormality of the lip.,HP,HP:0000159,http://purl.obolibrary.org/obo/HP_0000159
Narrow mouth,"Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective).",HP,HP:0000160,http://purl.obolibrary.org/obo/HP_0000160
Median cleft lip,A type of cleft lip presenting as a midline (median) gap in the upper lip.,HP,HP:0000161,http://purl.obolibrary.org/obo/HP_0000161
Glossoptosis,"Posterior displacement of the tongue into the pharynx, i.e., a tongue that is mislocalised posteriorly.",HP,HP:0000162,http://purl.obolibrary.org/obo/HP_0000162
Abnormal oral cavity morphology,"Abnormality of the oral cavity, i.e., the opening or hollow part of the mouth.",HP,HP:0000163,http://purl.obolibrary.org/obo/HP_0000163
Abnormality of the dentition,Any abnormality of the teeth.,HP,HP:0000164,http://purl.obolibrary.org/obo/HP_0000164
Severe periodontitis,A severe form of periodontitis.,HP,HP:0000166,http://purl.obolibrary.org/obo/HP_0000166
Abnormality of the gingiva,Any abnormality of the gingiva (also known as gums).,HP,HP:0000168,http://purl.obolibrary.org/obo/HP_0000168
Gingival fibromatosis,The presence of fibrosis of the gingiva.,HP,HP:0000169,http://purl.obolibrary.org/obo/HP_0000169
Microglossia,Decreased length and width of the tongue.,HP,HP:0000171,http://purl.obolibrary.org/obo/HP_0000171
Abnormal uvula morphology,"Abnormality of the uvula, the conic projection from the posterior edge of the middle of the soft palate.",HP,HP:0000172,http://purl.obolibrary.org/obo/HP_0000172
Abnormal palate morphology,"Any abnormality of the palate, i.e., of roof of the mouth.",HP,HP:0000174,http://purl.obolibrary.org/obo/HP_0000174
Cleft palate,Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate).,HP,HP:0000175,http://purl.obolibrary.org/obo/HP_0000175
Submucous cleft hard palate,Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate.,HP,HP:0000176,http://purl.obolibrary.org/obo/HP_0000176
Abnormality of upper lip,An abnormality of the upper lip.,HP,HP:0000177,http://purl.obolibrary.org/obo/HP_0000177
Abnormality of lower lip,An abnormality of the lower lip.,HP,HP:0000178,http://purl.obolibrary.org/obo/HP_0000178
Thick lower lip vermilion,"Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective).",HP,HP:0000179,http://purl.obolibrary.org/obo/HP_0000179
Lobulated tongue,Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour.,HP,HP:0000180,http://purl.obolibrary.org/obo/HP_0000180
Movement abnormality of the tongue,,HP,HP:0000182,http://purl.obolibrary.org/obo/HP_0000182
Difficulty in tongue movements,,HP,HP:0000183,http://purl.obolibrary.org/obo/HP_0000183
Cleft soft palate,"Cleft of the soft palate (also known as the velum, or muscular palate) as a result of a developmental defect occurring between the 7th and 12th week of pregnancy. Cleft soft palate can cause functional abnormalities of the Eustachian tube with resulting middle ear anomalies and hearing difficulties, as well as speech problems associated with hypernasal speech due to velopharyngeal insufficiency.",HP,HP:0000185,http://purl.obolibrary.org/obo/HP_0000185
Broad alveolar ridges,,HP,HP:0000187,http://purl.obolibrary.org/obo/HP_0000187
Short upper lip,Decreased width of the upper lip.,HP,HP:0000188,http://purl.obolibrary.org/obo/HP_0000188
Narrow palate,Width of the palate more than 2 SD below the mean (objective) or apparently decreased palatal width (subjective).,HP,HP:0000189,http://purl.obolibrary.org/obo/HP_0000189
Abnormal oral frenulum morphology,"An abnormality of the lingual frenulum, that is of the small fold of mucous membrane that attaches the tongue to the floor of the mouth, or the presence of accessory frenula in the oral cavity.",HP,HP:0000190,http://purl.obolibrary.org/obo/HP_0000190
Accessory oral frenulum,Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip.,HP,HP:0000191,http://purl.obolibrary.org/obo/HP_0000191
Bifid uvula,Uvula separated into two parts most easily seen at the tip.,HP,HP:0000193,http://purl.obolibrary.org/obo/HP_0000193
Open mouth,A facial appearance characterized by a permanently or nearly permanently opened mouth.,HP,HP:0000194,http://purl.obolibrary.org/obo/HP_0000194
Lower lip pit,"Depression located on the vermilion of the lower lip, usually paramedian.",HP,HP:0000196,http://purl.obolibrary.org/obo/HP_0000196
Abnormal parotid gland morphology,"Any abnormality of the parotid glands, which are the salivary glands that are located in the subcutaneous tissues of the face overlying the mandibular ramus and anterior and inferior to the external ear.",HP,HP:0000197,http://purl.obolibrary.org/obo/HP_0000197
Absence of Stensen duct,,HP,HP:0000198,http://purl.obolibrary.org/obo/HP_0000198
Tongue nodules,,HP,HP:0000199,http://purl.obolibrary.org/obo/HP_0000199
Short lingual frenulum,The presence of an abnormally short lingual frenulum.,HP,HP:0000200,http://purl.obolibrary.org/obo/HP_0000200
Pierre-Robin sequence,"Pierre Robin malformation is a sequence of developmental malformations characterized by micrognathia (mandibular hypoplasia), glossoptosis and cleft palate.",HP,HP:0000201,http://purl.obolibrary.org/obo/HP_0000201
Oral cleft,"The presence of a cleft in the oral cavity, the two main types of which are cleft lip and cleft palate. In cleft lip, there is the congenital failure of the maxillary and median nasal processes to fuse, forming a groove or fissure in the lip. In cleft palate, there is a congenital failure of the palate to fuse properly, forming a grooved depression or fissure in the roof of the mouth. Clefts of the lip and palate can occur individually or together. It is preferable to code each defect separately.",HP,HP:0000202,http://purl.obolibrary.org/obo/HP_0000202
Cleft upper lip,A gap in the upper lip. This is a congenital defect resulting from nonfusion of tissues of the lip during embryonal development.,HP,HP:0000204,http://purl.obolibrary.org/obo/HP_0000204
Pursed lips,An abnormality of the appearance of the face caused by constant contraction of the lips leading to a puckered or pursed appearance.,HP,HP:0000205,http://purl.obolibrary.org/obo/HP_0000205
Glossitis,Inflammation of the tongue.,HP,HP:0000206,http://purl.obolibrary.org/obo/HP_0000206
Triangular mouth,The presence of a triangular form of the mouth.,HP,HP:0000207,http://purl.obolibrary.org/obo/HP_0000207
Trismus,Limitation in the ability to open the mouth.,HP,HP:0000211,http://purl.obolibrary.org/obo/HP_0000211
Gingival overgrowth,"Hyperplasia of the gingiva (that is, a thickening of the soft tissue overlying the alveolar ridge. The degree of thickening ranges from involvement of the interdental papillae alone to gingival overgrowth covering the entire tooth crown.",HP,HP:0000212,http://purl.obolibrary.org/obo/HP_0000212
Lip telangiectasia,"Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the lips.",HP,HP:0000214,http://purl.obolibrary.org/obo/HP_0000214
Thick upper lip vermilion,"Height of the vermilion of the upper lip in the midline more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the upper lip in the frontal view (subjective).",HP,HP:0000215,http://purl.obolibrary.org/obo/HP_0000215
Broad secondary alveolar ridge,,HP,HP:0000216,http://purl.obolibrary.org/obo/HP_0000216
Xerostomia,Dryness of the mouth due to salivary gland dysfunction.,HP,HP:0000217,http://purl.obolibrary.org/obo/HP_0000217
